 49/250 [====>.........................] - ETA: 40s - loss: 0.0548 - accuracy: 0.9796
 50/250 [=====>........................] - ETA: 40s - loss: 0.0537 - accuracy: 0.9800
 51/250 [=====>........................] - ETA: 40s - loss: 0.0526 - accuracy: 0.9804
 52/250 [=====>........................] - ETA: 40s - loss: 0.0516 - accuracy: 0.9808
 53/250 [=====>........................] - ETA: 39s - loss: 0.0506 - accuracy: 0.9811
 54/250 [=====>........................] - ETA: 39s - loss: 0.0497 - accuracy: 0.9815
 55/250 [=====>........................] - ETA: 39s - loss: 0.0488 - accuracy: 0.9818
 56/250 [=====>........................] - ETA: 39s - loss: 0.0479 - accuracy: 0.9821
 57/250 [=====>........................] - ETA: 39s - loss: 0.0471 - accuracy: 0.9825
 58/250 [=====>........................] - ETA: 38s - loss: 0.0463 - accuracy: 0.9828
 59/250 [======>.......................] - ETA: 38s - loss: 0.0455 - accuracy: 0.9831
 60/250 [======>.......................] - ETA: 38s - loss: 0.0447 - accuracy: 0.9833
 61/250 [======>.......................] - ETA: 38s - loss: 0.0440 - accuracy: 0.9836
 62/250 [======>.......................] - ETA: 38s - loss: 0.0433 - accuracy: 0.9839
 63/250 [======>.......................] - ETA: 37s - loss: 0.0426 - accuracy: 0.9841
 64/250 [======>.......................] - ETA: 37s - loss: 0.0419 - accuracy: 0.9844
 65/250 [======>.......................] - ETA: 37s - loss: 0.0413 - accuracy: 0.9846
 66/250 [======>.......................] - ETA: 37s - loss: 0.0407 - accuracy: 0.9848
 67/250 [=======>......................] - ETA: 37s - loss: 0.0401 - accuracy: 0.9851
 68/250 [=======>......................] - ETA: 36s - loss: 0.0395 - accuracy: 0.9853
 69/250 [=======>......................] - ETA: 36s - loss: 0.0389 - accuracy: 0.9855
 70/250 [=======>......................] - ETA: 36s - loss: 0.0383 - accuracy: 0.9857
 71/250 [=======>......................] - ETA: 36s - loss: 0.0378 - accuracy: 0.9859
 72/250 [=======>......................] - ETA: 36s - loss: 0.0373 - accuracy: 0.9861
 73/250 [=======>......................] - ETA: 35s - loss: 0.0368 - accuracy: 0.9863
 74/250 [=======>......................] - ETA: 35s - loss: 0.0363 - accuracy: 0.9865
 75/250 [========>.....................] - ETA: 35s - loss: 0.0358 - accuracy: 0.9867
 76/250 [========>.....................] - ETA: 35s - loss: 0.0353 - accuracy: 0.9868
 77/250 [========>.....................] - ETA: 35s - loss: 0.0349 - accuracy: 0.9870
 78/250 [========>.....................] - ETA: 34s - loss: 0.0344 - accuracy: 0.9872
 79/250 [========>.....................] - ETA: 34s - loss: 0.0340 - accuracy: 0.9873
 80/250 [========>.....................] - ETA: 34s - loss: 0.0336 - accuracy: 0.9875
 81/250 [========>.....................] - ETA: 34s - loss: 0.0331 - accuracy: 0.9877
 82/250 [========>.....................] - ETA: 34s - loss: 0.0327 - accuracy: 0.9878
 83/250 [========>.....................] - ETA: 33s - loss: 0.0323 - accuracy: 0.9880
